DB04441	2-Fluoroadenosine
DB04789	5-methyltetrahydrofolate
DB05488	99mTc-ciprofloxacin
DB01048	Abacavir
DB05812	Abiraterone
DB00659	Acamprosate
DB00284	Acarbose
DB01193	Acebutolol
DB01418	Acenocoumarol
DB00316	Acetaminophen
DB00819	Acetazolamide
DB03128	Acetylcholine
DB06151	Acetylcysteine
DB00787	Aciclovir
DB00459	Acitretin
DB08897	Aclidinium
DB00210	Adapalene
DB00640	Adenosine
DB08916	Afatinib
DB06594	Agomelatine
DB00518	Albendazole
DB06766	Alcaftadine
DB00240	Alclometasone
DB00630	Alendronate
DB00802	Alfentanil
DB00346	Alfuzosin
DB01246	Alimemazine
DB00523	Alitretinoin
DB00437	Allopurinol
DB00918	Almotriptan
DB06203	Alogliptin
DB00969	Alosetron
DB00404	Alprazolam
DB00770	Alprostadil
DB00488	Altretamine
DB06274	Alvimopan
DB00915	Amantadine
DB00288	Amcinonide
DB01143	Amifostine
DB00479	Amikacin
DB00594	Amiloride
DB04836	Amineptine
DB00357	Aminoglutethimide
DB01223	Aminophylline
DB01118	Amiodarone
DB06288	Amisulpride
DB00321	Amitriptyline
DB01025	Amlexanox
DB00381	Amlodipine
DB01351	Amobarbital
DB00543	Amoxapine
DB01060	Amoxicillin
DB00182	Amphetamine
DB00415	Ampicillin
DB00701	Amprenavir
DB00276	Amsacrine
DB00261	Anagrelide
DB01217	Anastrozole
DB00362	Anidulafungin
DB06605	Apixaban
DB00714	Apomorphine
DB00964	Apraclonidine
DB00673	Aprepitant
DB00407	Ardeparin
DB01274	Arformoterol
DB00278	Argatroban
DB01238	Aripiprazole
DB09009	Articaine
DB06216	Asenapine
DB01072	Atazanavir
DB00335	Atenolol
DB00289	Atomoxetine
DB00732	Atracurium
DB00572	Atropine
DB00995	Auranofin
DB06237	Avanafil
DB00928	Azacitidine
DB00993	Azathioprine
DB00972	Azelastine
DB00207	Azithromycin
DB00355	Aztreonam
DB00626	Bacitracin
DB00181	Baclofen
DB00394	Beclomethasone
DB08903	Bedaquiline
DB00542	Benazepril
DB00436	Bendroflumethiazide
DB00245	Benzatropine
DB01086	Benzocaine
DB00868	Benzonatate
DB00865	Benzphetamine
DB01053	Benzylpenicillin
DB04890	Bepotastine
DB01244	Bepridil
DB05229	Beraprost
DB06771	Besifloxacin
DB06698	Betahistine
DB00443	Betamethasone
DB00195	Betaxolol
DB01019	Bethanechol
DB00307	Bexarotene
DB01393	Bezafibrate
DB01128	Bicalutamide
DB00905	Bimatoprost
DB09020	Bisacodyl
DB00612	Bisoprolol
DB00290	Bleomycin
DB08873	Boceprevir
DB00188	Bortezomib
DB00559	Bosentan
DB06616	Bosutinib
DB01158	Bretylium
DB00484	Brimonidine
DB01194	Brinzolamide
DB01558	Bromazepam
DB00963	Bromfenac
DB09019	Bromhexine
DB01200	Bromocriptine
DB01222	Budesonide
DB00887	Bumetanide
DB00297	Bupivacaine
DB00921	Buprenorphine
DB01156	Bupropion
DB00490	Buspirone
DB01008	Busulfan
DB00237	Butabarbital
DB01091	Butenafine
DB00639	Butoconazole
DB00611	Butorphanol
DB06772	Cabazitaxel
DB00248	Cabergoline
DB00201	Caffeine
DB02300	Calcipotriol
DB00136	Calcitriol
DB08907	Canagliflozin
DB00796	Candesartan
DB04972	Canfosfamide
DB01101	Capecitabine
DB00314	Capreomycin
DB01197	Captopril
DB00411	Carbachol
DB00564	Carbamazepine
DB00578	Carbenicillin
DB00190	Carbidopa
DB00389	Carbimazole
DB00748	Carbinoxamine
DB00958	Carboplatin
DB08889	Carfilzomib
DB00395	Carisoprodol
DB00262	Carmustine
DB00521	Carteolol
DB01136	Carvedilol
DB00520	Caspofungin
DB01486	Cathine
DB00833	Cefaclor
DB01140	Cefadroxil
DB01327	Cefazolin
DB00535	Cefdinir
DB01413	Cefepime
DB00671	Cefixime
DB00493	Cefotaxime
DB01330	Cefotetan
DB01331	Cefoxitin
DB01416	Cefpodoxime
DB01150	Cefprozil
DB00438	Ceftazidime
DB01415	Ceftibuten
DB01332	Ceftizoxime
DB04918	Ceftobiprole
DB01212	Ceftriaxone
DB01112	Cefuroxime
DB00482	Celecoxib
DB00567	Cephalexin
DB00439	Cerivastatin
DB00341	Cetirizine
DB00050	Cetrorelix
DB00185	Cevimeline
DB00291	Chlorambucil
DB00446	Chloramphenicol
DB00878	Chlorhexidine
DB00534	Chlormerodrin
DB01161	Chloroprocaine
DB00608	Chloroquine
DB00880	Chlorothiazide
DB01114	Chlorphenamine
DB00477	Chlorpromazine
DB00672	Chlorpropamide
DB00310	Chlorthalidone
DB00356	Chlorzoxazone
DB00122	Choline
DB01410	Ciclesonide
DB01188	Ciclopirox
DB00369	Cidofovir
DB01340	Cilazapril
DB01166	Cilostazol
DB00501	Cimetidine
DB01012	Cinacalcet
DB00827	Cinoxacin
DB00537	Ciprofloxacin
DB00515	Cisplatin
DB00215	Citalopram
DB00242	Cladribine
DB01211	Clarithromycin
DB00766	Clavulanate
DB00283	Clemastine
DB04920	Clevidipine
DB01190	Clindamycin
DB04815	Clioquinol
DB00349	Clobazam
DB00838	Clocortolone
DB00720	Clodronate
DB00631	Clofarabine
DB00845	Clofazimine
DB00882	Clomifene
DB01242	Clomipramine
DB01068	Clonazepam
DB00575	Clonidine
DB00758	Clopidogrel
DB00628	Clorazepate
DB00257	Clotrimazole
DB00907	Cocaine
DB00318	Codeine
DB01394	Colchicine
DB00375	Colestipol
DB01111	Colistimethate
DB00872	Conivaptan
DB08865	Crizotinib
DB00265	Crotamiton
DB01176	Cyclizine
DB00924	Cyclobenzaprine
DB00979	Cyclopentolate
DB00531	Cyclophosphamide
DB00260	Cycloserine
DB00091	Cyclosporine
DB00434	Cyproheptadine
DB00847	Cysteamine
DB04027	D-Arginine
DB02174	D-Glutamine
DB01638	D-Sorbitol
DB05314	DN-101
DB08912	Dabrafenib
DB00970	Dactinomycin
DB06637	Dalfampridine
DB01406	Danazol
DB01219	Dantrolene
DB06292	Dapagliflozin
DB00250	Dapsone
DB00496	Darifenacin
DB01264	Darunavir
DB01254	Dasatinib
DB00694	Daunorubicin
DB01262	Decitabine
DB08826	Deferiprone
DB00746	Deferoxamine
DB06699	Degarelix
DB00705	Delavirdine
DB04485	Deoxythymidine
DB01189	Desflurane
DB01151	Desipramine
DB00967	Desloratadine
DB00035	Desmopressin
DB00304	Desogestrel
DB01260	Desonide
DB00547	Desoximetasone
DB06700	Desvenlafaxine
DB01234	Dexamethasone
DB00633	Dexmedetomidine
DB06701	Dexmethylphenidate
DB00380	Dexrazoxane
DB01576	Dextroamphetamine
DB00514	Dextromethorphan
DB00647	Dextropropoxyphene
DB00509	Dextrothyroxine
DB00271	Diatrizoate
DB00829	Diazepam
DB01119	Diazoxide
DB00586	Diclofenac
DB01144	Diclofenamide
DB00485	Dicloxacillin
DB00804	Dicyclomine
DB00900	Didanosine
DB00937	Diethylpropion
DB00223	Diflorasone
DB00861	Diflunisal
DB06781	Difluprednate
DB00390	Digoxin
DB01551	Dihydrocodeine
DB00320	Dihydroergotamine
DB00343	Diltiazem
DB00985	Dimenhydrinate
DB06782	Dimercaprol
DB00917	Dinoprostone
DB01075	Diphenhydramine
DB00449	Dipivefrin
DB00975	Dipyridamole
DB00280	Disopyramide
DB00822	Disulfiram
DB00841	Dobutamine
DB01248	Docetaxel
DB00632	Docosanol
DB00204	Dofetilide
DB00757	Dolasetron
DB08930	Dolutegravir
DB01184	Domperidone
DB00843	Donepezil
DB00988	Dopamine
DB00869	Dorzolamide
DB00561	Doxapram
DB00590	Doxazosin
DB01142	Doxepin
DB00997	Doxorubicin
DB00366	Doxylamine
DB00470	Dronabinol
DB04855	Dronedarone
DB00450	Droperidol
DB01395	Drospirenone
DB06262	Droxidopa
DB00476	Duloxetine
DB01126	Dutasteride
DB00651	Dyphylline
DB01057	Echothiophate
DB01127	Econazole
DB01010	Edrophonium
DB00625	Efavirenz
DB00216	Eletriptan
DB01084	Emedastine
DB00879	Emtricitabine
DB00584	Enalapril
DB00228	Enflurane
DB01225	Enoxaparin
DB00494	Entacapone
DB00442	Entecavir
DB08899	Enzalutamide
DB01364	Ephedrine
DB00751	Epinastine
DB00668	Epinephrine
DB00445	Epirubicin
DB00700	Eplerenone
DB01240	Epoprostenol
DB08990	Eprazinone
DB00876	Eprosartan
DB00153	Ergocalciferol
DB01253	Ergonovine
DB00696	Ergotamine
DB04933	Eritoran
DB00530	Erlotinib
DB00303	Ertapenem
DB00199	Erythromycin
DB01175	Escitalopram
DB00187	Esmolol
DB00736	Esomeprazole
DB01215	Estazolam
DB00783	Estradiol
DB01196	Estramustine
DB04573	Estriol
DB00655	Estrone
DB04574	Estropipate
DB00402	Eszopiclone
DB00330	Ethambutol
DB03994	Ethanolamine
DB00609	Ethionamide
DB00593	Ethosuximide
DB00754	Ethotoin
DB08986	Etifoxine
DB00749	Etodolac
DB00292	Etomidate
DB00294	Etonogestrel
DB00773	Etoposide
DB01628	Etoricoxib
DB06414	Etravirine
DB01590	Everolimus
DB00990	Exemestane
DB00973	Ezetimibe
DB04953	Ezogabine
DB00426	Famciclovir
DB00927	Famotidine
DB00949	Felbamate
DB01023	Felodipine
DB01482	Fenethylline
DB01039	Fenofibrate
DB00800	Fenoldopam
DB00573	Fenoprofen
DB00813	Fentanyl
DB06702	Fesoterodine
DB00950	Fexofenadine
DB08874	Fidaxomicin
DB01216	Finasteride
DB08868	Fingolimod
DB01148	Flavoxate
DB01195	Flecainide
DB00322	Floxuridine
DB00301	Flucloxacillin
DB00196	Fluconazole
DB01099	Flucytosine
DB01073	Fludarabine
DB00687	Fludrocortisone
DB01205	Flumazenil
DB00180	Flunisolide
DB01544	Flunitrazepam
DB01047	Fluocinonide
DB00693	Fluorescein
DB00324	Fluorometholone
DB00544	Fluorouracil
DB00472	Fluoxetine
DB01185	Fluoxymesterone
DB00623	Fluphenazine
DB00846	Flurandrenolide
DB00690	Flurazepam
DB00712	Flurbiprofen
DB00499	Flutamide
DB01095	Fluvastatin
DB00176	Fluvoxamine
DB01213	Fomepizole
DB00983	Formoterol
DB01319	Fosamprenavir
DB06717	Fosaprepitant
DB00529	Foscarnet
DB00828	Fosfomycin
DB00492	Fosinopril
DB01320	Fosphenytoin
DB06716	Fospropofol
DB04106	Fotemustine
DB00452	Framycetin
DB00998	Frovatriptan
DB00947	Fulvestrant
DB00695	Furosemide
DB05708	GTS-21
DB00996	Gabapentin
DB06703	Gadobutrol
DB00225	Gadodiamide
