C0000727	Acute abdomen
C0000729	Abdominal cramps
C0000731	Abdominal distension
C0000735	Abdominal neoplasm
C0000737	Abdominal pain
C0000768	Congenital anomaly
C0000772	Multiple congenital abnormalities
C0000786	Abortion spontaneous
C0000814	Abortion missed
C0000832	Premature separation of placenta
C0000833	Abscess
C0000889	Acanthosis nigricans
C0000924	Accident
C0000932	Traffic accident
C0001122	Acidosis
C0001125	Lactic acidosis
C0001126	Renal tubular acidosis
C0001127	Respiratory acidosis
C0001175	Acquired immunodeficiency syndrome
C0001198	Acrodynia
C0001206	Acromegaly
C0001231	Ectopic ACTH syndrome
C0001339	Pancreatitis acute
C0001349	Acute phase reaction
C0001361	Acute tonsillitis
C0001364	Acute yellow liver atrophy
C0001396	Adams-Stokes syndrome
C0001403	Addison's disease
C0001416	Adenitis
C0001418	Adenocarcinoma
C0001430	Adenoma benign
C0001486	Adenovirus infection
C0001511	Adhesion
C0001546	Adjustment disorder
C0001621	Adrenal disorder
C0001622	Hyperadrenocorticism
C0001623	Adrenal insufficiency
C0001707	Aerophagia
C0001807	Aggression
C0001816	Agnosia
C0001818	Agoraphobia
C0001824	Agranulocytosis
C0001849	AIDS dementia complex
C0001883	Airway obstruction NOS
C0001916	Albinism
C0001925	Albuminuria
C0001957	Delirium tremens
C0001969	Alcohol intoxication
C0001973	Alcoholism
C0002063	Alkalosis
C0002064	Respiratory alkalosis
C0002103	Atopic rhinitis
C0002170	Alopecia
C0002390	Alveolitis allergic
C0002395	Dementia Alzheimer's type
C0002418	Amblyopia
C0002447	Amelia
C0002453	Amenorrhoea
C0002622	Amnesia
C0002624	Retrograde amnesia
C0002726	Amyloidosis
C0002792	Anaphylactic shock
C0002871	Anaemia
C0002874	Aplastic anaemia
C0002878	Haemolytic anaemia
C0002880	Autoimmune haemolytic anaemia
C0002884	Hypochromic anaemia
C0002886	Anaemia macrocytic
C0002888	Anaemia megaloblastic
C0002891	Anaemia neonatal
C0002893	Refractory anemia
C0002894	Refractory anaemia with an excess of blasts
C0002895	Sickle cell anaemia
C0002896	Sideroblastic anaemia
C0002902	Anencephaly
C0002928	Spinal anaesthesia
C0002940	Aneurysm
C0002957	Anger
C0002962	Angina pectoris
C0002963	Prinzmetal angina
C0002965	Angina unstable
C0002994	Angioedema
C0003028	Anhidrosis
C0003044	Animal bite
C0003079	Pupils unequal
C0003119	Anophthalmos
C0003123	Anorexia
C0003126	Anosmia
C0003128	Anovulation
C0003130	Anoxia
C0003175	Anthrax
C0003431	Antisocial personality disorder
C0003460	Anuria
C0003462	Anus disorder
C0003466	Anal atresia
C0003467	Anxiety
C0003469	Anxiety disorder
C0003486	Aortic aneurysm
C0003492	Coarctation of the aorta
